,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,浦东,775,271.2万,26735元,地杰国际城（F欧香四季）(浦东御桥)地图,sh4247816举报假一赔百细则,3室2厅1卫,有(二梯二户),124.71平,暂无数据,低区/18层,精装,南北,2009-12-18,满五,折现,住宅 - 公寓,满五唯一，税费低，房型超好，卧室两南一北，厅超大南北通，虽然是低层，采光也不错，精装保养较好,65565元/平,2006年,住宅 - 公寓,27栋,1130户,暂无信息,暂无信息,9套在售二手房6套在租房源,
11,松江,290,101.5万,10004元,外环外,民乐一村(松江松江老城)地图,sh4246738举报假一赔百细则,3室1厅1卫,暂无数据,75.72平,暂无数据,高区/6层,中装,南,2009-11-28,满五,置换,住宅 - 公寓,34754元/平,1981~1998年,住宅 - 公寓,55栋,638户,上海松茂物业管理有限公司,上海银嵘房地产开发有限公司,8套在售二手房4套在租房源,
12,普陀,215,75.2万,7417元,内中环,宜川六村(普陀甘泉宜川)地图,sh4239846举报假一赔百细则,1室1厅1卫,有(一梯七户),43.37平,暂无数据,高区/7层,简装,南,2004-05-25,满五,折现,住宅 - 公寓,55707元/平,1957~1998年,住宅 - 公寓、住宅 - 新里,113栋,2858户,上海中山物业有限公司,普陀建筑,36套在售二手房16套在租房源,
13,长宁,850,297.5万,29323元,内中环,紫虹大厦(长宁虹桥)地图,sh4231605举报假一赔百细则,3室2厅2卫,有(二梯五户),130.41平,暂无数据,低区/29层,简装,西北,2010-03-26,满五,折现,住宅 - 公寓,62928元/平,1999年,住宅 - 公寓,1栋,144户,紫虹物业,上海八维房地产公司,2套在售二手房1套在租房源,
14,黄浦,3880,1358万,133849元,内环内,华润外滩九里(黄浦黄浦滨江)地图,sh4230820举报假一赔百细则,4室2厅3卫,有(三梯二户),270.94平,暂无数据,高区/24层,豪装,南北,2012-08-03,满五,折现,住宅 - 公寓,142979元/平,2010~2011年,住宅 - 公寓,9栋,507户,华润置地（上海）物业管理有限公司,华润置地(上海)有限公司、华润置业集团,20套在售二手房19套在租房源,
15,虹口,400,140万,13799元,内中环,曲阳林云小区(虹口曲阳)地图,sh4224703举报假一赔百细则,2室1厅1卫,暂无数据,61.42平,暂无数据,高区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,64547元/平,1987~1988年,住宅 - 公寓,18栋,432户,大柏树物业公司,上海虹房集团有限公司、虹口开发商,9套在售二手房1套在租房源,
16,普陀,670,234.5万,23113元,内中环,达安春之声(普陀万里)地图,sh4181840举报假一赔百细则,2室2厅1卫,有(二梯三户),94.76平,暂无数据,低区/17层,毛坯,南北,2009-05-22,满五,置换,住宅 - 公寓,74527元/平,2006~2008年,住宅 - 公寓,28栋,1354户,上海达安物业管理有限公司,上海达安企业发展有限公司、达安集团,17套在售二手房5套在租房源,
17,浦东,680,238万,23458元,中外环,碧云新天地（一期）(浦东金桥)地图,sh4175708举报假一赔百细则,2室2厅1卫,暂无数据,101.93平,暂无数据,中区/5层,中装,南北,2009-04-21,满五,置换,住宅 - 公寓,72690元/平,2002~2008年,住宅 - 公寓,89栋,972户,上海欣城物业管理有限公司、欣城物业,上海金桥出口加工区开发股份有限公司、金桥出口加工区房产发展有限公司,17套在售二手房16套在租房源,
18,杨浦,815,285.2万,28115元,内中环,佳龙花园(杨浦黄兴公园)地图,sh4168811举报假一赔百细则,2室2厅1卫,有(一梯四户),101.08平,暂无数据,中区/11层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,82371元/平,2004~2005年,住宅 - 公寓,60栋,1850户,上海陆家嘴物业管理有限公司,上海建工佳龙房产有限公司,19套在售二手房6套在租房源,
19,浦东,398,139.3万,13730元,内环内,港驳小区(浦东塘桥)地图,sh4162562举报假一赔百细则,2室1厅1卫,暂无数据,56.28平,暂无数据,中区/6层,精装,南北,2011-09-08,满五,置换,住宅 - 公寓,70250元/平,1976~1985年,住宅 - 公寓,47栋,1075户,上海浦东新区潍坊物业公司、潍坊物业,上海虹桥高尔夫俱乐部有限公司,6套在售二手房6套在租房源,
20,徐汇,578,202.3万,19939元,内中环,漕溪四村(徐汇万体馆)地图,sh4157826举报假一赔百细则,3室1厅1卫,暂无数据,73.74平,暂无数据,中区/6层,精装,南北,1995-03-31,满五,折现,住宅 - 公寓,75646元/平,1982~1989年,住宅 - 公寓,56栋,1069户,徐房物业、徐房物业,上海盛基置业有限公司,28套在售二手房5套在租房源,
21,徐汇,1480,518万,51056元,内环内,天际花园(徐汇徐家汇)地图,sh4150071举报假一赔百细则,3室2厅2卫,有(一梯四户),176.82平,暂无数据,低区/29层,精装,南北,2007-07-30,满五,置换,住宅 - 公寓,95403元/平,1998~2004年,住宅 - 公寓、住宅 - 写字楼,22栋,666户,上海佳安物业管理有限责任公司,上海市徐汇区城市建设投资开发有限公司,6套在售二手房11套在租房源,
22,虹口,2250,787.5万,77619元,内环内,世博花园(虹口鲁迅公园)地图,sh4132906举报假一赔百细则,6室3厅3卫,有(二梯二户),258.78平,暂无数据,高区/11层,精装,南,2005-04-19,满五,折现,住宅 - 公寓,90751元/平,2004~2010年,住宅 - 公寓,19栋,1044户,上海汇枫物业发展有限公司,上海广伟置业有限公司,22套在售二手房3套在租房源,
23,杨浦,618,216.3万,21319元,中外环,新江湾佳苑(杨浦五角场)地图,sh4067602举报假一赔百细则,2室2厅1卫,有(一梯二户),96.91平,暂无数据,高区/7层,暂无数据,暂无数据,2010-08-09,满五,置换,住宅 - 公寓,1997~2010年,住宅 - 公寓,38栋,639户,上海凌宇物业管理有限公司,上海保辉房地产开发有限公司,18套在售二手房4套在租房源,,
24,杨浦,520,182万,17939元,内中环,靖宇东路85弄(杨浦黄兴公园)地图,sh3907354举报假一赔百细则,2室1厅1卫,暂无数据,87.93平,暂无数据,高区/6层,简装,南,2007-12-21,满五,折现,住宅 - 公寓,62960元/平,1968~1999年,住宅 - 公寓,31栋,533户,上海卫百辛(集团)有限公司、卫百辛物业,上海卫百辛集团、卫百辛集团,11套在售二手房1套在租房源,
25,长宁,1466,513.1万,50573元,内环内,今日丽园(长宁新华路)地图,sh3899748举报假一赔百细则,3室3厅2卫,有(二梯四户),180.36平,暂无数据,高区/28层,精装,南,2010-02-02,满五,置换,住宅 - 公寓,82964元/平,2003年,住宅 - 公寓,6栋,288户,上海新长宁集团、长宁物业,上海金源房地产有限公司,7套在售二手房2套在租房源,
26,浦东,615,215.2万,21216元,中外环,地杰国际城（E欧泊时光）(浦东御桥)地图,sh3851038举报假一赔百细则,2室2厅1卫,有(二梯三户),99.4平,暂无数据,低区/18层,毛坯,南,2008-12-30,满五,折现,住宅 - 公寓,66261元/平,2007年,住宅 - 公寓,20栋,1392户,上实物业,上海地杰置业有限公司,14套在售二手房16套在租房源,
27,嘉定,410,143.5万,14144元,外环外,中虹华苑(嘉定江桥)地图,sh3845784举报假一赔百细则,3室2厅1卫,暂无数据,98.71平,暂无数据,中区/5层,毛坯,南北,2011-01-13,满五,置换,住宅 - 公寓,42985元/平,2006~2007年,住宅 - 公寓,119栋,1393户,上海虹达物业管理有限公司,上海中虹(集团)有限公司,18套在售二手房0套在租房源,
28,黄浦,325,113.7万,11212元,内环内,斜土路486弄(黄浦五里桥)地图,sh3792664举报假一赔百细则,2室1厅1卫,暂无数据,40.65平,暂无数据,高区/7层,简装,南北,2009-09-28,满五,折现,住宅 - 公寓,住宅 - 公寓,14栋,359户,上海仙城物业,上海鹏辰房地产经纪有限公司,8套在售二手房4套在租房源,,,
29,静安,860,301万,29668元,内环内,金柏苑(静安静安寺)地图,sh3716038举报假一赔百细则,2室2厅1卫,有(三梯六户),117.49平,暂无数据,高区/32层,中装,东北,2005-02-06,满五,折现,住宅 - 公寓,82512元/平,1997年,住宅 - 公寓,1栋,178户,仲量联行、上海仲量联行物业管理有限公司,上海建美房产发展有限公司,4套在售二手房1套在租房源,
30,浦东,780,273万,26908元,内环内,上海绿城(浦东杨东)地图,sh3296868举报假一赔百细则,2室2厅1卫,有(二梯三户),108.26平,暂无数据,低区/18层,中装,南,2005-02-21,满五,置换,住宅 - 公寓,94391元/平,2004~2007年,住宅 - 公寓,79栋,2632户,上海绿宇物业管理有限公司,上海绿宇房地产开发有限公司,40套在售二手房52套在租房源,
31,浦东,640,224万,22078元,中外环,未来域(浦东三林)地图,sh3191483举报假一赔百细则,2室2厅1卫,有(二梯三户),92.06平,暂无数据,高区/18层,精装,南,2007-03-26,满五,折现,住宅 - 公寓,住宅 - 公寓,56栋,1016户,上海金地物业服务有限公司、金地物业,金地(集团)深圳地产公司、金地集团,17套在售二手房12套在租房源,,,
32,徐汇,1250,437.5万,43122元,内环内,玉兰花苑(徐汇徐家汇)地图,sh2810529举报假一赔百细则,3室2厅2卫,有(二梯七户),154.43平,暂无数据,中区/25层,毛坯,东,2010-06-07,满五,折现,住宅 - 公寓,79403元/平,1992~1994年,住宅 - 公寓,5栋,836户,上海上房物业管理有限公司昆山分公司、上房物业,上海市城市建设综合开发有限公司,11套在售二手房17套在租房源,
33,杨浦,550,192.5万,18973元,内环内,霍兰公寓(杨浦东外滩)地图,sh2469446举报假一赔百细则,2室1厅1卫,有(二梯八户),82.08平,暂无数据,中区/24层,中装,东南,2005-07-12,满五,折现,住宅 - 公寓,65281元/平,1993~1994年,住宅 - 公寓,3栋,612户,新霍置业,梦馨房产开发,14套在售二手房9套在租房源,
34,徐汇,860,301万,29668元,内环内,裕德大厦(徐汇徐家汇)地图,sh2232321举报假一赔百细则,2室1厅1卫,有(二梯八户),95.61平,暂无数据,高区/24层,简装,南,1999-01-19,满五,折现,住宅 - 公寓,93103元/平,1997~1998年,住宅 - 公寓,11栋,492户,上海裕德物业发展有限公司,中犇物业管理有限公司,6套在售二手房13套在租房源,
35,黄浦,535,187.2万,18456元,内环内,祥安公寓(黄浦五里桥)地图,sh1785836举报假一赔百细则,1室1厅1卫,有(二梯八户),55.63平,暂无数据,中区/25层,中装,东南,2007-05-12,满五,变现,住宅 - 公寓,87005元/平,1998年,住宅 - 公寓、住宅 - 新里,4栋,396户,上海静安物业管理公司、静安物业,上海静安地产(集团)有限公司、静安置业,3套在售二手房3套在租房源,
36,杨浦,990,346.5万,34152元,内中环,佳龙花园(杨浦黄兴公园)地图,sh1390748举报假一赔百细则,3室2厅2卫,有(二梯三户),127.1平,暂无数据,低区/18层,毛坯,南北,2004-12-20,满五,折现,住宅 - 公寓,82371元/平,2004~2005年,住宅 - 公寓,60栋,1850户,上海陆家嘴物业管理有限公司,上海建工佳龙房产有限公司,19套在售二手房6套在租房源,
37,长宁,1800,630万,62095元,内环内,申亚新华府(长宁新华路)地图,sh1121593举报假一赔百细则,4室2厅2卫,有(二梯三户),205.5平,暂无数据,高区/30层,毛坯,南,2004-01-07,满五,折现,住宅 - 公寓,84174元/平,2002年,住宅 - 公寓,4栋,233户,上海银湾物业管理有限公司,上海申亚房地产有限公司,7套在售二手房3套在租房源,
38,宝山,880,308万,30358元,中外环,锦秋花园（别墅）(宝山上大)地图,sh1084429举报假一赔百细则,3室2厅2卫,暂无数据,205.32平,暂无数据,地上3层,毛坯,南,2010-01-12,满五,折现,住宅 - 别墅,50839元/平,1998~2007年,住宅 - 别墅、住宅 - 公寓,3087栋,3087户,上海锦秋物业管理(上海)有限公司、?锦秋物业（上海）有限公司,上海锦秋房地产有限公司,26套在售二手房8套在租房源,
39,浦东,1750,612.5万,60370元,内环内,东方城市花园（一期）(浦东塘桥)地图,sh1070346举报假一赔百细则,4室2厅2卫,有(一梯二户),226.18平,暂无数据,高区/16层,精装,南北,2007-01-26,满五,置换,住宅 - 公寓,82204元/平,2003年,住宅 - 厂房、住宅 - 公寓,61栋,1591户,上海由由物业管理有限公司,上海由由集团股份有限公司,11套在售二手房7套在租房源,
40,浦东,950,332.5万,32772元,内环内,汇豪天下(浦东陆家嘴)地图,sh1062850举报假一赔百细则,2室2厅1卫,有(二梯四户),88.93平,暂无数据,低区/35层,精装,南,2005-04-11,满五,折现,住宅 - 公寓,101035元/平,2004~2005年,住宅 - 公寓,8栋,909户,上海东湖物业管理有限公司、东湖物业,上海浦东新翔房地产开发有限公司、新翔房地产有限公司,18套在售二手房16套在租房源,
41,浦东,2379,832.6万,82069元,内环内,世茂滨江花园(浦东陆家嘴)地图,sh1062726举报假一赔百细则,3室2厅3卫,有(三梯二户),237.93平,暂无数据,中区/49层,精装,西,2009-03-04,满五,折现,住宅 - 公寓,95246元/平,2009年,住宅 - 公寓,31栋,3410户,上海世茂第一太平物业管理有限公司、世茂物业,上海世茂房地产有限公司、世茂集团,90套在售二手房87套在租房源,
42,闵行,525,183.8万,18111元,外环外,好世凤凰城(闵行颛桥)地图,sh4865756举报假一赔百细则,2室2厅2卫,暂无数据,101.96平,暂无数据,低区/4层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,55173元/平,2003~2004年,住宅 - 公寓,166栋,1648户,上海景瑞物业管理有限公司、上海和迅物业管理有限公司,上海好世置业有限公司,19套在售二手房7套在租房源,
43,浦东,455,159.2万,15696元,内环内,泾东小区(浦东洋泾)地图,sh4865737举报假一赔百细则,2室1厅1卫,有(二梯八户),64.17平,暂无数据,中区/25层,暂无数据,暂无数据,2011-03-01,满五,置换,住宅 - 公寓,72245元/平,1987~2009年,住宅 - 公寓,53栋,1762户,上海洋泾物业公司、上海洋泾物业有限公司、洋泾物业,上海建工房产有限公司,23套在售二手房14套在租房源,
44,闸北,290,101.5万,10004元,内中环,延铁小区(闸北大宁)地图,sh4865216举报假一赔百细则,1室1厅1卫,暂无数据,35.98平,暂无数据,低区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,74299元/平,1983~1991年,住宅 - 公寓,33栋,684户,上海共贺物业管理有限公司、和诚物业,健将房地产开发有限公司,3套在售二手房5套在租房源,
45,杨浦,400,140万,13799元,中外环,市光一村(杨浦中原)地图,sh4862947举报假一赔百细则,3室1厅1卫,暂无数据,69.7平,暂无数据,低区/6层,简装,南北,暂无数据,满五,置换,住宅 - 公寓,57316元/平,1987~1998年,住宅 - 公寓、住宅 - 新里,114栋,3134户,上海恒联物业有限公司、恒联物业,上海市住宅开发中心第二分公司、中心集团,32套在售二手房5套在租房源,
46,闵行,272,95.2万,9383元,外环外,银都新村(1至7区)(闵行颛桥)地图,sh4860755举报假一赔百细则,2室1厅1卫,暂无数据,65.44平,暂无数据,低区/6层,简装,西南,暂无数据,满五,暂无数据,住宅 - 公寓,47220元/平,1994~2000年,住宅 - 公寓,336栋,4622户,上海益镇物业管理有限公司、上海益镇物业管理有限公司,颛桥房地产,52套在售二手房22套在租房源,
47,浦东,2200,770万,75894元,外环外,圣马丽诺桥语(浦东唐镇)地图,sh4857491举报假一赔百细则,5室3厅4卫,暂无数据,355.58平,暂无数据,地上2层,精装,南,2006-08-07,满五,折现,住宅 - 别墅,68209元/平,2005年,住宅 - 别墅,105栋,105户,上实物业管理(上海)有限公司、上实物业,上海同亨置业有限公司（唐镇土地开发公司）,8套在售二手房9套在租房源,
48,杨浦,730,255.5万,25183元,中外环,翔殷心秀(杨浦中原)地图,sh4854873举报假一赔百细则,2室2厅1卫,有(一梯二户),97.0平,暂无数据,高区/12层,精装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,69395元/平,2004年,住宅 - 公寓,9栋,191户,上海陆家嘴物业管理有限公司,上海天喜房地产开发有限公司,7套在售二手房4套在租房源,
49,徐汇,280,98万,9659元,内环内,东安二村(徐汇徐家汇)地图,sh4828890举报假一赔百细则,1室0厅1卫,暂无数据,37.0平,暂无数据,中区/6层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,70476元/平,1958~2000年,住宅 - 公寓、住宅 - 新里,123栋,2493户,上海高建物业有限公司,上海市奉贤区住宅建设总公司,24套在售二手房9套在租房源,
50,闵行,990,346.5万,34152元,中外环,锦绣江南（一期）(闵行金汇)地图,sh4797534举报假一赔百细则,6室2厅3卫,暂无数据,133.5平,暂无数据,高区/6层,暂无数据,暂无数据,2003-08-05,满五,置换,住宅 - 公寓,68844元/平,2002年,住宅 - 公寓,60栋,840户,上海东湖物业管理有限公司、东湖物业,上海明泉企业（集团）有限公司、上海明泉集团,15套在售二手房13套在租房源,
51,长宁,1200,420万,41397元,内环内,盛业公寓(长宁中山公园)地图,sh4754921举报假一赔百细则,3室2厅2卫,有(一梯二户),152.17平,暂无数据,低区/19层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,77376元/平,1999年,住宅 - 公寓,2栋,56户,上海中山物业有限公司,上海佳银置业有限公司,2套在售二手房0套在租房源,
52,松江,268,93.8万,9245元,外环外,青松石小区(松江松江老城)地图,sh4754449举报假一赔百细则,2室2厅1卫,暂无数据,80.33平,暂无数据,高区/5层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓,18栋,69户,暂无信息,暂无信息,2套在售二手房0套在租房源,,,
53,浦东,450,157.5万,15524元,内中环,由由一村(浦东北蔡)地图,sh4699182举报假一赔百细则,3室1厅1卫,暂无数据,75.21平,暂无数据,中区/6层,简装,南北,暂无数据,满五,置换,住宅 - 公寓,57616元/平,1994~1997年,住宅 - 公寓,104栋,1356户,上海由由物业管理有限公司,上海由由房地产开发有限公司、上海由由集团股份有限公司,29套在售二手房3套在租房源,
54,杨浦,210,73.5万,7244元,中外环,市光三村(杨浦中原)地图,sh4679937举报假一赔百细则,1室0厅1卫,暂无数据,37.97平,暂无数据,高区/6层,精装,南,2009-07-03,满五,折现,住宅 - 公寓,54866元/平,1993~2005年,住宅 - 公寓,222栋,4323户,上海星驰置业有限公司,上海市住宅开发中心第二分公司,69套在售二手房8套在租房源,
55,浦东,225,78.8万,7762元,内环内,阳光二村(浦东洋泾)地图,sh4864766举报假一赔百细则,1室1厅1卫,暂无数据,37.14平,暂无数据,中区/5层,简装,南,暂无数据,满五,置换,住宅 - 公寓,60810元/平,1981~1994年,住宅 - 公寓,53栋,1339户,上海洋泾物业公司、洋泾物业,阳光房地产开发有限集团、阳光房产发展有限公司,16套在售二手房11套在租房源,
56,徐汇,560,196万,19318元,内中环,海波花苑(徐汇龙华)地图,sh4862169举报假一赔百细则,2室1厅1卫,暂无数据,76.36平,暂无数据,高区/6层,简装,南,暂无数据,满五,置换,住宅 - 公寓,75709元/平,1995~1999年,住宅 - 公寓、住宅 - 写字楼,34栋,426户,上海海和物业发展有限公司,上海海波房地产综合开发有限公司,8套在售二手房1套在租房源,
57,黄浦,555,194.2万,19146元,内环内,康瞿小区(黄浦打浦桥)地图,sh4859954举报假一赔百细则,2室1厅1卫,有(二梯九户),68.45平,暂无数据,中区/20层,精装,南,暂无数据,满五,置换,住宅 - 公寓,84863元/平,1990~1995年,住宅 - 公寓,5栋,408户,上海永理置业管理有限公司,上海永理置业管理有限公司,4套在售二手房2套在租房源,
58,虹口,1450,507.5万,50021元,内环内,名江七星城(虹口北外滩)地图,sh4816077举报假一赔百细则,3室2厅2卫,有(二梯二户),166.35平,暂无数据,高区/28层,简装,南北,2005-10-06,满五,折现,住宅 - 公寓,88620元/平,2003年,住宅 - 公寓,16栋,637户,威格斯物业管理有限公司、威格斯物业,上海虹宸置业发展有限公司,8套在售二手房3套在租房源,
59,闸北,370,129.5万,12764元,中外环,三泉路510弄(闸北彭浦)地图,sh4759490举报假一赔百细则,2室1厅1卫,暂无数据,64.15平,暂无数据,中区/6层,暂无数据,暂无数据,1995-08-04,满五,置换,住宅 - 公寓,住宅 - 公寓,12栋,318户,泉龙物业管理有限公司,暂无信息,2套在售二手房1套在租房源,,,
60,闸北,285,99.8万,9832元,中外环,三泉路415弄(闸北彭浦)地图,sh4747317举报假一赔百细则,2室1厅1卫,暂无数据,57.93平,暂无数据,高区/6层,毛坯,西,暂无数据,满五,其它,住宅 - 公寓,51700元/平,1993~1996年,住宅 - 公寓,43栋,809户,上海安得物业管理有限公司、上海宝业物业管理有限公司,宝业集团股份有限公司,3套在售二手房3套在租房源,
61,徐汇,320,112万,11039元,内环内,零陵小区(徐汇徐家汇)地图,sh4715020举报假一赔百细则,1室1厅1卫,暂无数据,40.86平,暂无数据,高区/6层,暂无数据,暂无数据,2009-08-11,满五,折现,住宅 - 公寓,79524元/平,1958~1987年,住宅 - 公寓、住宅 - 新里,61栋,1161户,上海高建物业有限公司、无,上海市人民政府动迁组、上海上房置业中心有限公司,18套在售二手房9套在租房源,
62,闵行,1300,455万,44846元,外环外,圣陶沙花园（别墅）(闵行莘庄)地图,sh4665880举报假一赔百细则,4室2厅3卫,暂无数据,180.6平,暂无数据,地上3层,中装,南,2002-05-03,满五,折现,住宅 - 别墅,77139元/平,2000~2011年,住宅 - 别墅,706栋,706户,上海圣陶沙物业管理有限公司,上海联农凯泰置业有限公司,9套在售二手房3套在租房源,
63,杨浦,200,70万,6899元,内环内,凤城三村(杨浦控江路)地图,sh4628046举报假一赔百细则,1室0厅1卫,暂无数据,29.92平,暂无数据,低区/5层,暂无数据,暂无数据,2009-08-25,满五,折现,住宅 - 公寓,61632元/平,1956~2011年,住宅 - 公寓,240栋,5872户,上海四平物业管理有限公司、卫百辛物业,上海卫百辛房地产经纪有限公司、卫百辛集团,62套在售二手房14套在租房源,
64,闵行,1000,350万,34497元,外环外,莘梓苑(闵行莘庄)地图,sh4616009举报假一赔百细则,4室2厅2卫,暂无数据,135.69平,暂无数据,中区/5层,精装,南北,2003-05-30,满五,其它,住宅 - 公寓,67291元/平,2001~2002年,住宅 - 公寓,54栋,344户,上海齐佳物业管理有限公司,上海莘梓置业有限公司,6套在售二手房4套在租房源,
65,闵行,1050,367.5万,36222元,外环外,名都新城(闵行莘庄)地图,sh4614797举报假一赔百细则,4室2厅2卫,有(一梯四户),160.36平,暂无数据,低区/11层,精装,南,2003-06-05,满五,折现,住宅 - 公寓,65957元/平,2001~2005年,住宅 - 公寓,92栋,2188户,上海仲源物业管理有限公司,上海仲盛集团有限公司、上海仲盛企业发展有限公司,22套在售二手房19套在租房源,
66,杨浦,262,91.7万,9038元,内环内,唐山路1380弄(杨浦周家嘴路)地图,sh4572713举报假一赔百细则,2室0厅1卫,暂无数据,39.14平,暂无数据,低区/7层,暂无数据,暂无数据,2003-03-01,满五,折现,住宅 - 公寓,62861元/平,1988~1989年,住宅 - 公寓,7栋,195户,东湖物业,上海海富置业有限公司,5套在售二手房1套在租房源,
67,杨浦,680,238万,23458元,内环内,荣丰花园(杨浦东外滩)地图,sh4517612举报假一赔百细则,3室1厅1卫,暂无数据,99.84平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,71731元/平,1995~2001年,住宅 - 公寓,56栋,744户,上海四平物业管理有限公司、上海外滩东展物业管理有限公司、外滩物业,上海凯晨房地产开发有限公司、上海卫百辛集团、凯晨房产开发有限公司,22套在售二手房3套在租房源,
68,徐汇,200,70万,6899元,内中环,梅陇三村(徐汇华东理工)地图,sh4498503举报假一赔百细则,1室0厅1卫,暂无数据,34.18平,暂无数据,高区/6层,暂无数据,暂无数据,2000-08-11,满五,置换,住宅 - 公寓,59212元/平,1989~1997年,住宅 - 公寓,98栋,2186户,上海长桥物业有限公司、长桥物业,上海工业房地产总公司,20套在售二手房4套在租房源,
69,黄浦,397,138.9万,13695元,内环内,悦来小区(黄浦黄浦滨江)地图,sh4495165举报假一赔百细则,2室0厅1卫,暂无数据,43.36平,暂无数据,低区/6层,暂无数据,南,暂无数据,满五,置换,住宅 - 公寓,89619元/平,1993~1994年,住宅 - 公寓,2栋,255户,上海上实物业管理有限公司、上实物业,上海上实房地产开发有限公司、上实房地产,6套在售二手房6套在租房源,
