,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
26,浦东,450,157.5万,15524元,内环内,崂山二村(浦东陆家嘴)地图,sh4636306举报假一赔百细则,2室1厅0卫,暂无数据,61.1平,暂无数据,低区/7层,简装,南北,2004-09-02,满五,其它,住宅 - 公寓,72430元/平,1958~1994年,住宅 - 公寓、住宅 - 新里,72栋,1780户,上海潍坊物业公司、潍坊物业,上海建工房产有限公司,7套在售二手房9套在租房源
27,虹口,495,173.2万,17076元,内环内,大连小区(虹口临平路)地图,sh4636010举报假一赔百细则,2室1厅1卫,有(一梯八户),77.1平,暂无数据,中区/26层,精装,东,2000-05-01,满五,置换,住宅 - 公寓,71293元/平,1987~1994年,住宅 - 公寓,40栋,1253户,上海船舫物业,上海第二工具厂,15套在售二手房4套在租房源
28,浦东,408,142.8万,14075元,中外环,浦发绿城(浦东三林)地图,sh4635968举报假一赔百细则,2室2厅1卫,暂无数据,74.94平,暂无数据,低区/6层,毛坯,南北,暂无数据,满五,其它,住宅 - 公寓,52302元/平,2004~2005年,住宅 - 公寓,567栋,7028户,上海浦华物业管理有限公司、上海浦发物业有限公司、浦华物业,浦东房地产开发公司、上海浦东开发公司,81套在售二手房23套在租房源
29,黄浦,450,157.5万,15524元,内环内,瑞金二路67号(黄浦淮海中路)地图,sh4635812举报假一赔百细则,2室1厅1卫,暂无数据,47.41平,暂无数据,高区/4层,精装,东西,暂无数据,满五,折现,住宅 - 新里,94916元/平,暂无信息,住宅 - 公寓、住宅 - 新里,1栋,4户,暂无信息,暂无信息,1套在售二手房0套在租房源
30,长宁,350,122.5万,12074元,内环内,华秀小区(长宁中山公园)地图,sh4635508举报假一赔百细则,1室2厅1卫,暂无数据,54.25平,暂无数据,高区/6层,中装,南,暂无数据,满五,折现,住宅 - 公寓,77801元/平,1991~1996年,住宅 - 公寓,28栋,915户,安德物业,长宁集团,14套在售二手房5套在租房源
31,嘉定,230,80.5万,7934元,外环外,紫荆四村(嘉定安亭)地图,sh4635186举报假一赔百细则,3室1厅1卫,暂无数据,78.93平,暂无数据,高区/6层,简装,南北,暂无数据,满五,其它,住宅 - 公寓,28929元/平,1989~1999年,住宅 - 公寓、住宅 - 新里,70栋,903户,自主物业、上海众达物业有限公司,上海新申房产建设有限公司,17套在售二手房4套在租房源
32,嘉定,610,213.5万,21043元,外环外,龙湖郦城(嘉定嘉定新城)地图,sh4634356举报假一赔百细则,3室2厅2卫,有(二梯三户),138.25平,暂无数据,低区/25层,精装,南北,2012-01-21,满五,置换,住宅 - 公寓,41010元/平,2011~2012年,住宅 - 公寓、商业类、住宅 - 洋房,26栋,1907户,龙湖物业、龙湖物业,上海恒驰房地产有限公司,34套在售二手房20套在租房源
33,徐汇,190,66.5万,6554元,内环内,茶陵小区(徐汇斜土路)地图,sh4633462举报假一赔百细则,1室0厅1卫,暂无数据,25.23平,暂无数据,中区/4层,简装,东北,2006-04-06,满五,置换,住宅 - 公寓,75745元/平,1958~1989年,住宅 - 公寓,29栋,724户,上海瑞创物业管理有限公司、瑞创物业,上海海富置业有限公司,16套在售二手房4套在租房源
34,浦东,380,133万,13109元,外环外,翔川家园(浦东川沙)地图,sh4633029举报假一赔百细则,1室2厅1卫,暂无数据,65.0平,暂无数据,中区/6层,精装,南,2009-09-29,满五,其它,住宅 - 公寓,58308元/平,2008~2010年,住宅 - 公寓,73栋,876户,上海佳龙物业公司,上海贝越实业有限公司,10套在售二手房4套在租房源
35,徐汇,1060,371万,36567元,内环内,汇翠花园(徐汇徐家汇)地图,sh4631974举报假一赔百细则,2室2厅2卫,有(一梯三户),126.01平,暂无数据,低区/25层,中装,南,2003-10-11,满五,折现,住宅 - 公寓,88933元/平,2003年,住宅 - 公寓、商业类,6栋,653户,上海上房物业管理有限公司昆山分公司、上房物业,上海滨江置业有限公司,21套在售二手房14套在租房源
36,浦东,290,101.5万,10004元,中外环,浦发绿城(浦东三林)地图,sh4631580举报假一赔百细则,1室1厅1卫,暂无数据,48.31平,暂无数据,低区/6层,中装,南北,暂无数据,满五,折现,住宅 - 公寓,52302元/平,2004~2005年,住宅 - 公寓,567栋,7028户,上海浦华物业管理有限公司、上海浦发物业有限公司、浦华物业,浦东房地产开发公司、上海浦东开发公司,81套在售二手房23套在租房源
37,杨浦,206,72.1万,7106元,内中环,控江东三村(杨浦黄兴公园)地图,sh4631556举报假一赔百细则,1室0厅1卫,暂无数据,34.94平,暂无数据,中区/6层,简装,南,2000-05-03,满五,折现,住宅 - 公寓,65664元/平,1993~2003年,住宅 - 公寓、住宅 - 新里,92栋,2095户,上海延吉物业管理有限公司,老上海黄兴房产开发公司,36套在售二手房3套在租房源
38,普陀,950,332.5万,32772元,内中环,香溢花城（住宅）(普陀光新)地图,sh4629881举报假一赔百细则,2室2厅1卫,暂无数据,109.5平,暂无数据,中区/8层,精装,南北,2010-06-07,满五,折现,住宅 - 公寓,83342元/平,2009~2014年,住宅 - 公寓、商业类,35栋,2119户,上海绿城物业有限公司、绿城物业、绿城物业,上海昊川置业有限公司,31套在售二手房13套在租房源
39,徐汇,325,113.7万,11212元,内中环,田林十二村(徐汇田林)地图,sh4629653举报假一赔百细则,1室1厅1卫,暂无数据,34.22平,暂无数据,高区/6层,简装,南,2006-05-07,满五,置换,住宅 - 公寓,87292元/平,1983~1990年,住宅 - 公寓,85栋,2082户,上海田林物业有限公司、田林新村物业管理公司,上海徐汇房产经营有限公司,22套在售二手房8套在租房源
40,浦东,350,122.5万,12074元,内中环,金杨七街坊(浦东金杨)地图,sh4629476举报假一赔百细则,2室1厅1卫,暂无数据,56.85平,暂无数据,低区/6层,中装,南,暂无数据,满五,置换,住宅 - 公寓,57561元/平,1995~1996年,住宅 - 公寓,170栋,3131户,上海陆家嘴物业管理有限公司,上海锦和投资集团有限公司,49套在售二手房11套在租房源
41,闵行,373,130.5万,12867元,外环外,信利苑(闵行航华)地图,sh4628313举报假一赔百细则,2室1厅1卫,暂无数据,80.0平,暂无数据,中区/6层,中装,南,暂无数据,满五,置换,住宅 - 公寓,住宅 - 公寓,40栋,440户,上海信利物业有限公司,上海新长宁（集团）有限公司、长宁集团,11套在售二手房0套在租房源,,
42,普陀,1080,378万,37257元,内环内,燕宁苑(普陀武宁)地图,sh4627635举报假一赔百细则,3室2厅2卫,有(一梯二户),131.37平,暂无数据,中区/11层,精装,南,2006-03-22,满五,折现,住宅 - 公寓,79755元/平,2005~2014年,住宅 - 公寓,18栋,460户,上海金阳物业管理有限公司、金阳物业,上海信达房地产开发有限公司、上海信达房产开发公司,4套在售二手房3套在租房源
43,杨浦,410,143.5万,14144元,中外环,市光二村(杨浦中原)地图,sh4627488举报假一赔百细则,2室2厅1卫,有(二梯八户),71.66平,暂无数据,中区/18层,精装,西南,1999-06-15,满五,折现,住宅 - 公寓,56108元/平,1989~1997年,住宅 - 公寓、商业类、住宅 - 新里,131栋,3652户,上海恒联物业有限公司、恒联物业,上海市住宅开发中心第二分公司、中心集团,41套在售二手房4套在租房源
44,静安,1250,437.5万,43122元,内环内,云海苑(静安南京西路)地图,sh4627468举报假一赔百细则,3室2厅2卫,有(二梯四户),135.86平,暂无数据,中区/28层,精装,西南,2004-10-20,满五,折现,住宅 - 公寓,106132元/平,2003年,住宅 - 公寓,2栋,155户,上海恒豪基业物业服务有限公司,上海云东置业发展有限公司,9套在售二手房6套在租房源
45,徐汇,880,308万,30358元,内环内,锦汇苑(徐汇徐家汇)地图,sh4626385举报假一赔百细则,2室1厅1卫,有(二梯六户),94.26平,暂无数据,低区/29层,精装,南,2002-12-17,满五,折现,住宅 - 公寓,96384元/平,1997年,住宅 - 公寓,2栋,342户,上海工联物业公司、工联物业,上海铭源房地产开发经营有限公司,9套在售二手房8套在租房源
46,闵行,140,49万,4830元,外环外,电机四村(闵行老闵行)地图,sh4626301举报假一赔百细则,1室0厅1卫,暂无数据,35.77平,暂无数据,高区/6层,简装,南,2009-04-28,满五,其它,住宅 - 公寓,34508元/平,1972~2016年,住宅 - 公寓、住宅 - 老公寓、住宅 - 新里,46栋,588户,上海闵碧物业管理有限公司,上海闵行房地产发展有限公司,3套在售二手房1套在租房源
47,闵行,1256,439.6万,43329元,外环外,蓼花汀花园（公寓）(闵行七宝)地图,sh4626011举报假一赔百细则,3室3厅3卫,有(一梯一户),210.52平,暂无数据,高区/12层,简装,南,2010-05-14,满五,折现,住宅 - 公寓,63801元/平,2005年,住宅 - 公寓,32栋,382户,上海陆家嘴物业管理有限公司,上海泓林置业有限公司,2套在售二手房6套在租房源
48,浦东,340,119万,11729元,中外环,高行绿洲（五期）(浦东高东)地图,sh4625973举报假一赔百细则,2室1厅2卫,有(一梯二户),80.08平,暂无数据,低区/14层,简装,南,2012-04-01,满五,折现,住宅 - 公寓,46519元/平,2010年,住宅 - 公寓,85栋,2364户,深圳市彩生活服务集团有限公司,上海外高桥股份开发有限公司,24套在售二手房1套在租房源
49,闵行,480,168万,16559元,外环外,明物大厦(闵行莘庄)地图,sh4625949举报假一赔百细则,2室1厅1卫,暂无数据,77.8平,暂无数据,高区/6层,简装,南北,2003-12-04,满五,折现,住宅 - 公寓,64495元/平,1999~2000年,住宅 - 公寓,6栋,108户,上海开杨物业管理公司,上海裕华房地产经营有限公司、上海裕华,3套在售二手房0套在租房源
50,徐汇,350,122.5万,12074元,内环内,龙山新村(徐汇万体馆)地图,sh4625166举报假一赔百细则,2室0厅1卫,暂无数据,51.92平,暂无数据,低区/6层,简装,南,2009-11-04,满五,折现,住宅 - 公寓,69882元/平,1953~1999年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,116栋,2471户,上海高建物业有限公司、上海北方物业管理有限公司,上海上房置业中心有限公司,40套在售二手房12套在租房源
51,浦东,1218,426.3万,42018元,内环内,世茂滨江花园(浦东陆家嘴)地图,sh4624397举报假一赔百细则,2室2厅2卫,有(三梯四户),126.39平,暂无数据,低区/53层,简装,东西,2003-05-13,满五,折现,住宅 - 公寓,95246元/平,2009年,住宅 - 公寓,31栋,3410户,上海世茂第一太平物业管理有限公司、世茂物业,上海世茂房地产有限公司、世茂集团,90套在售二手房87套在租房源
52,浦东,1260,441万,43467元,内环内,陆家嘴花园二期(浦东源深)地图,sh4624296举报假一赔百细则,2室2厅2卫,有(一梯二户),114.02平,暂无数据,中区/11层,精装,南北,2003-03-26,满五,折现,住宅 - 公寓,106480元/平,2002~2004年,住宅 - 公寓,46栋,1106户,暂无信息,暂无信息,7套在售二手房21套在租房源
53,宝山,315,110.2万,10867元,外环外,菊泉新城（陆翔路698弄）(宝山顾村)地图,sh4623319举报假一赔百细则,2室2厅1卫,有(一梯二户),81.51平,暂无数据,高区/14层,毛坯,南北,2010-05-02,满五,置换,住宅 - 公寓,40315元/平,2005年,住宅 - 公寓,58栋,931户,和记物业服务(上海)有限公司、宏苑物业,上海古北顾村置业有限公司,15套在售二手房4套在租房源
54,杨浦,568,198.8万,19594元,内中环,营口大厦(杨浦黄兴公园)地图,sh4621999举报假一赔百细则,2室1厅1卫,有(二梯八户),87.5平,暂无数据,低区/24层,精装,南,2000-02-04,满五,折现,住宅 - 公寓,63233元/平,1999年,住宅 - 公寓,2栋,380户,上海银星置业有限公司,上海五角场房产开发有限公司、五角场开发商,8套在售二手房3套在租房源
55,杨浦,830,290.5万,28633元,内中环,文化佳园(杨浦黄兴公园)地图,sh4621461举报假一赔百细则,2室2厅2卫,有(一梯二户),110.3平,暂无数据,低区/8层,中装,南北,2006-07-31,满五,置换,住宅 - 公寓,83528元/平,2002年,住宅 - 别墅、住宅 - 公寓,116栋,1114户,文化佳园物业公司,上海新演房地产开发有限公司,15套在售二手房5套在租房源
56,浦东,945,330.8万,32600元,内中环,阳光花城(浦东张江)地图,sh4621240举报假一赔百细则,3室2厅2卫,有(二梯二户),134.83平,暂无数据,高区/18层,精装,南北,2010-07-18,满五,置换,住宅 - 公寓,68482元/平,2007~2009年,住宅 - 别墅、住宅 - 公寓,167栋,1327户,上海芸绮物业管理有限公司、上海上钢物业公司,上海德尚房地产开发有限公司,20套在售二手房30套在租房源
57,闸北,750,262.5万,25873元,内环内,联富假日公寓(闸北西藏北路)地图,sh4619730举报假一赔百细则,3室2厅1卫,有(四梯十五户),93.32平,暂无数据,中区/24层,毛坯,南北,2011-05-06,满五,折现,住宅 - 公寓,85371元/平,2007年,住宅 - 公寓,2栋,598户,上海物业、新翠生物业,上海嘉春装饰设计工程有限公司,12套在售二手房1套在租房源
58,徐汇,1218,426.3万,42018元,内环内,瑞金南苑(徐汇斜土路)地图,sh4618878举报假一赔百细则,3室2厅2卫,有(一梯二户),141.7平,暂无数据,低区/9层,精装,南北,2004-05-01,满五,置换,住宅 - 公寓,96975元/平,2000~2003年,住宅 - 公寓,23栋,728户,上海众家物业有限公司,上海公房实业有限公司,8套在售二手房6套在租房源
59,长宁,1300,455万,44846元,内中环,虹桥河滨花园(长宁中山公园)地图,sh4618037举报假一赔百细则,3室2厅2卫,有(二梯二户),165.25平,暂无数据,低区/28层,豪装,南北,2005-05-13,满五,折现,住宅 - 公寓,83894元/平,2004年,住宅 - 公寓、商业类、住宅 - 写字楼,9栋,514户,上海怡居物业管理有限公司,上海上科实业有限公司,14套在售二手房5套在租房源
60,静安,1200,420万,41397元,内环内,香樟花园(静安南京西路)地图,sh4617047举报假一赔百细则,3室2厅2卫,有(二梯五户),123.33平,暂无数据,低区/27层,精装,南,1999-08-18,满五,置换,住宅 - 公寓,98140元/平,1998年,住宅 - 公寓,1栋,135户,上海凯迪克大厦有限公司,上海三利房地产有限公司,3套在售二手房3套在租房源
61,浦东,440,154万,15179元,中外环,金桥湾清水苑(浦东金桥)地图,sh4616624举报假一赔百细则,2室1厅1卫,暂无数据,68.62平,暂无数据,中区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,62742元/平,1998~1999年,住宅 - 公寓,236栋,2736户,上海安居物业有限公司,上海金桥出口加工区房地产发展有限公司、金桥出口加工区房产发展有限公司,47套在售二手房4套在租房源
62,浦东,635,222.2万,21906元,中外环,万科金色城市(浦东御桥)地图,sh4616362举报假一赔百细则,3室2厅1卫,有(二梯四户),78.1平,暂无数据,低区/18层,精装,南北,2012-01-05,满五,置换,住宅 - 公寓,73958元/平,2010年,住宅 - 公寓,31栋,1272户,上海万科物业管理有限公司、上海不凡物业管理有限公司、万科物业,上海建工房产有限公司、上海万科房地产有限公司,14套在售二手房16套在租房源
63,浦东,325,113.7万,11212元,内中环,齐河花苑(浦东世博)地图,sh4615364举报假一赔百细则,2室1厅1卫,暂无数据,51.21平,暂无数据,低区/6层,精装,南,2009-08-06,满五,其它,住宅 - 公寓,63674元/平,1997年,住宅 - 公寓,60栋,748户,齐河物业,上南开发集团、上南集团有限公司,7套在售二手房1套在租房源
64,长宁,1385,484.7万,47779元,内环内,新华世纪园(长宁新华路)地图,sh4615327举报假一赔百细则,3室2厅2卫,有(一梯二户),155.95平,暂无数据,中区/15层,精装,南北,2003-11-11,满五,折现,住宅 - 公寓,84058元/平,2003年,住宅 - 公寓,16栋,406户,上海华联物业管理有限公司,上海申冠置业发展有限公司,8套在售二手房4套在租房源
65,虹口,360,126万,12419元,内中环,中山北一路865弄(虹口凉城)地图,sh4614514举报假一赔百细则,2室0厅1卫,暂无数据,52.55平,暂无数据,中区/5层,简装,南,暂无数据,满五,置换,住宅 - 公寓,69970元/平,1980~1984年,住宅 - 公寓,14栋,272户,暂无信息,暂无信息,9套在售二手房3套在租房源
66,闵行,209,73.1万,7210元,外环外,红旗四街坊(闵行老闵行)地图,sh4613281举报假一赔百细则,2室1厅1卫,暂无数据,54.57平,暂无数据,中区/6层,暂无数据,南北,2008-12-24,满五,置换,住宅 - 公寓,36174元/平,1987~2004年,住宅 - 公寓,221栋,2992户,小荷物业、上海合生物业管理有限公司,上海龙盟房地产开发有限公司,52套在售二手房16套在租房源
67,普陀,365,127.7万,12591元,中外环,清涧三街坊(普陀真光)地图,sh4612811举报假一赔百细则,2室1厅1卫,暂无数据,71.06平,暂无数据,中区/6层,简装,东南,2000-06-01,满五,置换,住宅 - 公寓,49631元/平,1997~2000年,住宅 - 公寓,28栋,1476户,上海乾溪物业管理有限公司、上海亚大物业发展有限公司,上海桃浦房地产开发有限公司、上海顾村房地产开发（集团）有限公司,20套在售二手房4套在租房源
68,浦东,785,274.8万,27080元,内中环,新昌里公寓(浦东世博)地图,sh4612560举报假一赔百细则,4室2厅2卫,暂无数据,113.57平,暂无数据,高区/6层,中装,南,2006-05-12,满五,置换,住宅 - 公寓,75094元/平,2005年,住宅 - 公寓,32栋,360户,中星物业,中星集团,8套在售二手房1套在租房源
69,普陀,258,90.3万,8900元,外环外,桃浦五村杜鹃苑(普陀桃浦)地图,sh4612455举报假一赔百细则,2室1厅1卫,暂无数据,59.66平,暂无数据,低区/6层,简装,南,暂无数据,满五,其它,住宅 - 公寓,44688元/平,1994~1995年,住宅 - 公寓,27栋,664户,上海西部物业有限公司、上海普陀物业有限公司,西部集团,8套在售二手房2套在租房源
70,闵行,660,231万,22768元,中外环,江南星城(闵行古美)地图,sh4612368举报假一赔百细则,3室2厅2卫,暂无数据,113.75平,暂无数据,高区/6层,毛坯,南,2006-03-01,满五,折现,住宅 - 公寓,66286元/平,2004~2005年,住宅 - 公寓,237栋,2917户,上海中星（集团）有限公司、中星物业,上海中星（集团）有限公司、中星集团,35套在售二手房19套在租房源
71,黄浦,600,210万,20698元,内环内,合肥路127弄(黄浦新天地)地图,sh4612181举报假一赔百细则,3室0厅1卫,暂无数据,59.08平,暂无数据,低区/6层,精装,南北,2004-07-01,满五,折现,住宅 - 公寓,104893元/平,1936~1990年,住宅 - 公寓、住宅 - 新里,15栋,121户,永年物业,黄浦房产,2套在售二手房3套在租房源
